Numero de documentos: 18046 
Numero de palabras del corpus: 10553
Palabra: announce Frec: 179 LogProb: -5.580861261143694
Palabra: announcement Frec: 39 LogProb: -7.084938657919968
Palabra: annoying Frec: 3 LogProb: -9.387523750914013
Palabra: annual Frec: 18 LogProb: -7.829379132867464
Palabra: annually Frec: 2 LogProb: -9.675205823365795
Palabra: annuity Frec: 2 LogProb: -9.675205823365795
Palabra: anonymous Frec: 4 LogProb: -9.164380199599805
Palabra: anothe Frec: 2 LogProb: -9.675205823365795
Palabra: answer Frec: 106 LogProb: -6.1009892775719985
Palabra: anthem Frec: 4 LogProb: -9.164380199599805
Palabra: anthony Frec: 3 LogProb: -9.387523750914013
Palabra: anti Frec: 19 LogProb: -7.778085838479913
Palabra: antibacterial Frec: 27 LogProb: -7.4416136018587
Palabra: antibiotic Frec: 4 LogProb: -9.164380199599805
Palabra: antibody Frec: 4 LogProb: -9.164380199599805
Palabra: anticipate Frec: 17 LogProb: -7.88344635413774
Palabra: anticipation Frec: 6 LogProb: -8.82790796297859
Palabra: antidotes- Frec: 2 LogProb: -9.675205823365795
Palabra: antimalarial Frec: 3 LogProb: -9.387523750914013
Palabra: antimicrobial Frec: 4 LogProb: -9.164380199599805
Palabra: antiseptic Frec: 4 LogProb: -9.164380199599805
Palabra: antiviral Frec: 7 LogProb: -8.694376570354068
Palabra: antivirus Frec: 2 LogProb: -9.675205823365795
Palabra: antonio Frec: 4 LogProb: -9.164380199599805
Palabra: anus Frec: 2 LogProb: -9.675205823365795
Palabra: anxiety Frec: 42 LogProb: -7.012617996340342
Palabra: anxious Frec: 20 LogProb: -7.729295674310482
Palabra: anxiously Frec: 2 LogProb: -9.675205823365795
Palabra: anybody Frec: 15 LogProb: -8.001229389794123
Palabra: anymore Frec: 20 LogProb: -7.729295674310482
Palabra: anytime Frec: 7 LogProb: -8.694376570354068
Palabra: anyways Frec: 5 LogProb: -8.98205864280585
Palabra: ap Frec: 3 LogProb: -9.387523750914013
Palabra: apart Frec: 79 LogProb: -6.391791477360023
Palabra: apartment Frec: 13 LogProb: -8.134760782418645
Palabra: apl Frec: 2 LogProb: -9.675205823365795
Palabra: apna Frec: 2 LogProb: -9.675205823365795
Palabra: apnea Frec: 4 LogProb: -9.164380199599805
Palabra: apocalypse Frec: 22 LogProb: -7.638323896104755
Palabra: apocalypse2020 Frec: 3 LogProb: -9.387523750914013
Palabra: apocolypse Frec: 2 LogProb: -9.675205823365795
Palabra: apologise Frec: 12 LogProb: -8.208868754572368
Palabra: apologize Frec: 9 LogProb: -8.47123301903986
Palabra: apothecary Frec: 2 LogProb: -9.675205823365795
Palabra: app Frec: 116 LogProb: -6.011644177236148
Palabra: appalachian Frec: 3 LogProb: -9.387523750914013
Palabra: apparatus Frec: 2 LogProb: -9.675205823365795
Palabra: apparel Frec: 7 LogProb: -8.694376570354068
Palabra: apparent Frec: 6 LogProb: -8.82790796297859
Palabra: apparently Frec: 43 LogProb: -6.989628478115643
Palabra: appeal Frec: 30 LogProb: -7.339830907548758
Palabra: appear Frec: 35 LogProb: -7.190299173577794
Palabra: appearance Frec: 4 LogProb: -9.164380199599805
Palabra: appetite Frec: 2 LogProb: -9.675205823365795
Palabra: applaud Frec: 23 LogProb: -7.595764281685959
Palabra: applauds Frec: 4 LogProb: -9.164380199599805
Palabra: applause Frec: 6 LogProb: -8.82790796297859
Palabra: apple Frec: 29 LogProb: -7.372620730371749
Palabra: appliance Frec: 13 LogProb: -8.134760782418645
Palabra: applicable Frec: 4 LogProb: -9.164380199599805
Palabra: application Frec: 22 LogProb: -7.638323896104755
Palabra: apply Frec: 73 LogProb: -6.469753018829735
Palabra: appointment Frec: 16 LogProb: -7.940604767977688
Palabra: appreciate Frec: 149 LogProb: -5.763182817937649
Palabra: appreciated Frec: 7 LogProb: -8.694376570354068
Palabra: appreciation Frec: 34 LogProb: -7.21847005054449
Palabra: appreciative Frec: 3 LogProb: -9.387523750914013
Palabra: approach Frec: 36 LogProb: -7.16290019938968
Palabra: appropriate Frec: 12 LogProb: -8.208868754572368
Palabra: appropriately Frec: 7 LogProb: -8.694376570354068
Palabra: approval Frec: 13 LogProb: -8.134760782418645
Palabra: approve Frec: 73 LogProb: -6.469753018829735
Palabra: approved Frec: 2 LogProb: -9.675205823365795
