Numero de documentos: 15397 
Numero de palabras del corpus: 9546
Palabra: aljazeera Frec: 2 LogProb: -8.758412389457677
Palabra: allah Frec: 10 LogProb: -7.459129405327417
Palabra: allegation Frec: 8 LogProb: -7.6598001007895675
Palabra: allege Frec: 10 LogProb: -7.459129405327417
Palabra: alleged Frec: 5 LogProb: -8.065265208897733
Palabra: allegedly Frec: 35 LogProb: -6.273505739669677
Palabra: allen Frec: 3 LogProb: -8.470730317005897
Palabra: allergic Frec: 2 LogProb: -8.758412389457677
Palabra: allergy Frec: 13 LogProb: -7.217967348510529
Palabra: alleviate Frec: 5 LogProb: -8.065265208897733
Palabra: alliance Frec: 4 LogProb: -8.247586765691686
Palabra: allied Frec: 2 LogProb: -8.758412389457677
Palabra: allocate Frec: 6 LogProb: -7.911114529070474
Palabra: allocation Frec: 2 LogProb: -8.758412389457677
Palabra: allow Frec: 176 LogProb: -4.680874945551958
Palabra: allowance Frec: 6 LogProb: -7.911114529070474
Palabra: ally Frec: 10 LogProb: -7.459129405327417
Palabra: aloe Frec: 3 LogProb: -8.470730317005897
Palabra: alonetogether Frec: 6 LogProb: -7.911114529070474
Palabra: alongside Frec: 7 LogProb: -7.777583136445951
Palabra: alosra Frec: 2 LogProb: -8.758412389457677
Palabra: alot Frec: 5 LogProb: -8.065265208897733
Palabra: alphabet Frec: 2 LogProb: -8.758412389457677
Palabra: alright Frec: 6 LogProb: -7.911114529070474
Palabra: altamonte Frec: 2 LogProb: -8.758412389457677
Palabra: alter Frec: 6 LogProb: -7.911114529070474
Palabra: alternate Frec: 6 LogProb: -7.911114529070474
Palabra: alternative Frec: 23 LogProb: -6.678970847777841
Palabra: altogether Frec: 5 LogProb: -8.065265208897733
Palabra: alumina Frec: 2 LogProb: -8.758412389457677
Palabra: aluminium Frec: 5 LogProb: -8.065265208897733
Palabra: amanda Frec: 2 LogProb: -8.758412389457677
Palabra: amazing Frec: 13 LogProb: -7.217967348510529
Palabra: amazon Frec: 129 LogProb: -4.9894902276702044
Palabra: amazonfresh Frec: 3 LogProb: -8.470730317005897
Palabra: amazonprime Frec: 2 LogProb: -8.758412389457677
Palabra: amazonseller Frec: 2 LogProb: -8.758412389457677
Palabra: ambulance Frec: 7 LogProb: -7.777583136445951
Palabra: ameliorate Frec: 2 LogProb: -8.758412389457677
Palabra: amend Frec: 6 LogProb: -7.911114529070474
Palabra: amenity Frec: 3 LogProb: -8.470730317005897
Palabra: america Frec: 98 LogProb: -5.261904827991197
Palabra: americafirst Frec: 2 LogProb: -8.758412389457677
Palabra: american Frec: 85 LogProb: -5.402677381872279
Palabra: americans Frec: 137 LogProb: -4.9297709929685825
Palabra: americas Frec: 4 LogProb: -8.247586765691686
Palabra: amid Frec: 493 LogProb: -3.6544891609378647
Palabra: amidst Frec: 44 LogProb: -6.050362188355468
Palabra: amirite Frec: 2 LogProb: -8.758412389457677
Palabra: amis Frec: 2 LogProb: -8.758412389457677
Palabra: ammo Frec: 17 LogProb: -6.966652920229622
Palabra: ammunition Frec: 8 LogProb: -7.6598001007895675
Palabra: amoral Frec: 2 LogProb: -8.758412389457677
Palabra: amount Frec: 20 LogProb: -6.812502240402364
